iter	RMSE
0	1765073.652
1	1729863.935
2	1687857.313
3	1657776.797
4	1626763.382
5	1601707.678
6	1582711.599
7	1566540.91
8	1550436.845
9	1536751.97
10	1523807.726
11	1513752.22
12	1504060.428
13	1495535.483
14	1486941.71
15	1479604.406
16	1473395.766
17	1466425.891
18	1461263.431
19	1453463.697
20	1445908.887
21	1439686.321
22	1434774.947
23	1428446.436
24	1424642.781
25	1421200.853
26	1417404.348
27	1413530.629
28	1409915.037
29	1405986.768
30	1403668.683
31	1401267.644
32	1397600.394
33	1395596.28
34	1393095.424
35	1391064.775
36	1388244.021
37	1386590.328
38	1384521.26
39	1382082.989
40	1380574.611
41	1378644.102
42	1377095.292
43	1375884.475
44	1374606.185
45	1372256.485
46	1369069.228
47	1366957.566
48	1363849.954
49	1362648.431
50	1361531.593
51	1359892.548
52	1357943.393
53	1356485.511
54	1355917.744
55	1353785.438
56	1352464.897
57	1351375.019
58	1350226.065
59	1348787.841
60	1346051.843
61	1344450.927
62	1342805.713
63	1341386.579
64	1340577.887
65	1338664.379
66	1337669.653
67	1336880.861
68	1336595.771
69	1335496.771
70	1334900.569
71	1332751.662
72	1332102.83
73	1330244.403
74	1330123.512
75	1328255.699
76	1327856.456
77	1327544.349
78	1325860.182
79	1324553.684
80	1323809.302
81	1322404.167
82	1321794.458
83	1320907.651
84	1320402.712
85	1320318.575
86	1319718.766
87	1319717.056
88	1318478.907
89	1317624.351
90	1317001.793
91	1316885.779
92	1316439.352
93	1316088.017
94	1315701.146
95	1315700.955
96	1315520.372
97	1314548.918
98	1312544.331
99	1312151.429
100	1311614.013
101	1310944.345
102	1310221.217
103	1308965.072
104	1308012.243
105	1307038.351
106	1306167.281
107	1305663.412
108	1305307.149
109	1305071.835
110	1303549.493
111	1303183.772
112	1302969.476
113	1302812.983
114	1302768.692
115	1302719.694
116	1301845.597
117	1301012.159
118	1300136.945
119	1298885.116
120	1298699.884
121	1298641.64
122	1297848.579
123	1297589.648
124	1297344.771
125	1295561.058
126	1295309.823
127	1295275.399
128	1292306.276
129	1292068.129
130	1292037.011
131	1289755.581
132	1289305.907
133	1289244.193
134	1288884.995
135	1288374.389
136	1287651.145
137	1287242.015
138	1286880.365
139	1286845.592
140	1286135.851
141	1286109.309
142	1286090.37
143	1286052.598
144	1285352.577
145	1284166.044
146	1283221.191
147	1283032.937
148	1282951.584
149	1281425.536
150	1281403.913
151	1280307.766
152	1279865.688
153	1279627.29
154	1278239.227
155	1277241.731
156	1277046.437
157	1276872.33
158	1276317.591
159	1276062.02
160	1276033.375
161	1275102.991
162	1274861.896
163	1274471.985
164	1274290.062
165	1274094.024
166	1273751.601
167	1273305.913
168	1272720.796
169	1272082.071
170	1271216.902
171	1270971.327
172	1270785.049
173	1270607.719
174	1269656.13
175	1269634.269
176	1269166.867
177	1268101.116
178	1267980.806
179	1267601.233
180	1267160.788
181	1266392.661
182	1266242.562
183	1265497.494
184	1265084.16
185	1264683.373
186	1264592.521
187	1264126.696
188	1263733.337
189	1263550.924
190	1263454.249
191	1263207.744
192	1262940.905
193	1262771.794
194	1262693.028
195	1262554.731
196	1262172.139
197	1261783.799
198	1261421.06
199	1261296.683
200	1261163.174
201	1260507.369
202	1259812.083
203	1259712.709
204	1259520.169
205	1259440.595
206	1259183.255
207	1259115.696
208	1256860.258
209	1256310.088
210	1255679.717
211	1255549.349
212	1255469.441
213	1255085.994
214	1254775.854
215	1253857.039
216	1253843.531
217	1253203.865
218	1252868.17
219	1252627.877
220	1252063.737
221	1251994.688
222	1251810.045
223	1251731.229
224	1251083.48
225	1250940.695
226	1250204.118
227	1250032.073
228	1249093.398
229	1248849.241
230	1248784.171
231	1248574.192
232	1248248.492
233	1247936.596
234	1247222.283
235	1246567.215
236	1246375.564
237	1246312.002
238	1246224.293
239	1245459.314
240	1245323.432
241	1245313.078
242	1244745.009
243	1244655.554
244	1244439.375
245	1244310.852
246	1244230.344
247	1243953.397
248	1243950.822
249	1243620.979
250	1243611.746
251	1243548.948
252	1243400.585
253	1243351.549
254	1243343.015
255	1243326.04
256	1243010.395
257	1242779.243
258	1242726.804
259	1242299.306
260	1242293.7
261	1241364.877
262	1241358.626
263	1240588.701
264	1240070.216
265	1240032.877
266	1238722.196
267	1238336.212
268	1238256.499
269	1237410.802
270	1237016.084
271	1236576.435
272	1236255.896
273	1236227.297
274	1235921.519
275	1235588.704
276	1235434.656
277	1235383.314
278	1235247.745
279	1234632.049
280	1234563.608
281	1233703.849
282	1233535.813
283	1232838.592
284	1232025.291
285	1231643.538
286	1231289.181
287	1230571.632
288	1230532.507
289	1229960.785
290	1229525.442
291	1229508.304
292	1229493.325
293	1229207.422
294	1228800.972
295	1228436.932
296	1227863.296
297	1227328.024
298	1227324.524
299	1226766.941
