iter	Passed	Remaining
0	285	85334
1	646	96302
2	1026	101584
3	1321	97797
4	1638	96654
5	1916	93912
6	2127	89060
7	2419	88303
8	2690	86993
9	2964	85972
10	3241	85175
11	3446	82711
12	3802	83957
13	4093	83633
14	4428	84147
15	4733	84011
16	5069	84399
17	5401	84617
18	5681	84032
19	5945	83240
20	6202	82407
21	6504	82194
22	6824	82188
23	7152	82256
24	7459	82055
25	7716	81322
26	7986	80748
27	8221	79867
28	8562	80013
29	8963	80674
30	9298	80683
31	9615	80528
32	9936	80396
33	10266	80317
34	10644	80594
35	10930	80156
36	11236	79870
37	11484	79185
38	11834	79198
39	12091	78597
40	12371	78153
41	12681	77898
42	12969	77517
43	13309	77434
44	13674	77489
45	13891	76706
46	14126	76042
47	14376	75477
48	14579	74680
49	14905	74527
50	15186	74147
51	15496	73907
52	15862	73923
53	16153	73589
54	16514	73565
55	16797	73189
56	17160	73158
57	17441	72771
58	17767	72576
59	18096	72384
60	18441	72254
61	18690	71747
62	19005	71497
63	19261	71026
64	19536	70632
65	19831	70312
66	20096	69888
67	20495	69925
68	20831	69741
69	21168	69554
70	21450	69185
71	21818	69092
72	22124	68798
73	22411	68446
74	22749	68248
75	23098	68078
76	23419	67825
77	23761	67628
78	24086	67381
79	24383	67055
80	24715	66822
81	25001	66467
82	25321	66201
83	25660	65984
84	25906	65528
85	26100	64947
86	26370	64561
87	26536	63928
88	26902	63780
89	27202	63472
90	27541	63253
91	27855	62977
92	28181	62726
93	28385	62206
94	28709	61951
95	28834	61273
96	29101	60903
97	29413	60627
98	29660	60220
99	29922	59844
100	30254	59611
101	30550	59304
102	30819	58946
103	31067	58550
104	31299	58127
105	31601	57837
106	31947	57625
107	32259	57350
108	32574	57080
109	32888	56807
110	33181	56498
111	33524	56272
112	33816	55961
113	34165	55743
114	34524	55539
115	34882	55330
116	35247	55131
117	35578	54875
118	35884	54580
119	36209	54314
120	36512	54014
121	36877	53804
122	37191	53520
123	37511	53242
124	37816	52942
125	38148	52681
126	38472	52407
127	38701	52005
128	39006	51706
129	39323	51423
130	39669	51177
131	40027	50944
132	40309	50614
133	40699	50418
134	41042	50162
135	41397	49920
136	41763	49689
137	42116	49440
138	42471	49193
139	42791	48904
140	43141	48649
141	43365	48251
142	43663	47938
143	43966	47630
144	44298	47353
145	44613	47057
146	44943	46777
147	45253	46476
148	45555	46167
149	45887	45887
150	46129	45518
151	46453	45230
152	46752	44918
153	47149	44699
154	47467	44404
155	47822	44144
156	48203	43905
157	48510	43597
158	48858	43327
159	49263	43105
160	49643	42860
161	49959	42558
162	50409	42368
163	50769	42101
164	51235	41919
165	51569	41628
166	51862	41303
167	52157	40980
168	52661	40820
169	53040	40560
170	53415	40296
171	53818	40051
172	54156	39756
173	54632	39561
174	54942	39244
175	55245	38922
176	55562	38611
177	55921	38328
178	56307	38062
179	56679	37786
180	57012	37483
181	57353	37185
182	57700	36890
183	58018	36576
184	58344	36268
185	58720	35989
186	59104	35715
187	59468	35428
188	59739	35084
189	60120	34806
190	60526	34541
191	60873	34241
192	61215	33938
193	61563	33637
194	61917	33340
195	62313	33064
196	62647	32754
197	62992	32450
198	63217	32085
199	63545	31772
200	63875	31461
201	64246	31169
202	64546	30842
203	64855	30520
204	65182	30206
205	65572	29921
206	65899	29606
207	66224	29291
208	66586	28992
209	67003	28715
210	67351	28408
211	67722	28111
212	68033	27788
213	68380	27479
214	68803	27201
215	69156	26894
216	69440	26560
217	69764	26241
218	70142	25943
219	70482	25630
220	70856	25328
221	71176	25007
222	71530	24698
223	71831	24371
224	72215	24071
225	72504	23740
226	72830	23421
227	73224	23123
228	73573	22811
229	73921	22497
230	74239	22175
231	74584	21861
232	75004	21567
233	75313	21242
234	75674	20931
235	75985	20606
236	76352	20296
237	76742	19991
238	77061	19668
239	77403	19350
240	77754	19035
241	78066	18710
242	78418	18394
243	78784	18081
244	79099	17757
245	79512	17453
246	79695	17100
247	80002	16774
248	80296	16446
249	80682	16136
250	81009	15814
251	81340	15493
252	81753	15187
253	82104	14869
254	82424	14545
255	82653	14206
256	82956	13879
257	83387	13574
258	83765	13260
259	84147	12945
260	84492	12625
261	84817	12301
262	85096	11971
263	85416	11647
264	85775	11328
265	86241	11023
266	86624	10706
267	86990	10386
268	87467	10079
269	88002	9778
270	88401	9459
271	88789	9140
272	89136	8815
273	89479	8490
274	89837	8167
275	90221	7845
276	90538	7517
277	90930	7195
278	91327	6874
279	91621	6544
280	91960	6218
281	92318	5892
282	92727	5570
283	93151	5247
284	93452	4918
285	93813	4592
286	94172	4265
287	94708	3946
288	95091	3619
289	95514	3293
290	95824	2963
291	96171	2634
292	96491	2305
293	96877	1977
294	97272	1648
295	97695	1320
296	98115	991
297	98465	660
298	98824	330
299	99117	0
