iter	Passed	Remaining
0	182	182512
1	230	114979
2	264	87745
3	302	75359
4	340	67706
5	373	61857
6	401	56990
7	428	53180
8	455	50189
9	480	47599
10	507	45610
11	530	43686
12	559	42454
13	584	41163
14	609	40046
15	636	39155
16	658	38095
17	683	37301
18	704	36368
19	722	35383
20	742	34594
21	766	34071
22	790	33563
23	816	33216
24	844	32951
25	884	33146
26	923	33293
27	958	33278
28	1035	34675
29	1202	38895
30	1328	41529
31	1404	42500
32	1437	42112
33	1464	41611
34	1499	41339
35	1523	40795
36	1547	40283
37	1576	39898
38	1605	39549
39	1632	39189
40	1659	38811
41	1690	38556
42	1730	38522
43	1758	38204
44	1786	37905
45	1814	37620
46	1844	37396
47	1890	37501
48	1936	37591
49	1983	37677
50	2024	37680
51	2064	37645
52	2098	37499
53	2138	37456
54	2173	37343
55	2211	37275
56	2248	37191
57	2283	37080
58	2311	36861
59	2332	36546
60	2354	36243
61	2375	35942
62	2398	35671
63	2421	35417
64	2443	35155
65	2464	34871
66	2486	34620
67	2504	34320
68	2525	34073
69	2547	33843
70	2572	33660
71	2598	33497
72	2627	33366
73	2654	33213
74	2680	33055
75	2702	32860
76	2730	32730
77	2757	32592
78	2783	32450
79	2810	32323
80	2849	32330
81	2887	32328
82	2930	32373
83	2970	32387
84	3011	32416
85	3049	32407
86	3088	32406
87	3124	32382
88	3172	32471
89	3217	32527
90	3257	32544
91	3292	32492
92	3322	32405
93	3351	32301
94	3380	32201
95	3406	32081
96	3446	32088
97	3473	31970
98	3499	31850
99	3524	31721
100	3550	31606
101	3577	31496
102	3605	31396
103	3626	31247
104	3653	31145
105	3678	31028
106	3706	30935
107	3738	30881
108	3763	30766
109	3806	30795
110	3843	30785
111	3886	30815
112	3924	30805
113	3961	30791
114	4000	30785
115	4032	30732
116	4064	30676
117	4101	30654
118	4134	30611
119	4165	30548
120	4202	30527
121	4238	30506
122	4266	30423
123	4290	30311
124	4311	30179
125	4332	30049
126	4354	29934
127	4378	29826
128	4404	29740
129	4433	29668
130	4463	29606
131	4492	29541
132	4518	29457
133	4544	29372
134	4568	29271
135	4592	29172
136	4611	29045
137	4631	28927
138	4671	28938
139	4698	28863
140	4721	28764
141	4740	28641
142	4761	28534
143	4796	28514
144	4835	28512
145	4875	28516
146	4910	28496
147	4945	28472
148	4988	28490
149	5025	28477
150	5060	28455
151	5094	28422
152	5136	28437
153	5175	28434
154	5213	28421
155	5243	28371
156	5267	28283
157	5289	28189
158	5310	28091
159	5332	27995
160	5351	27890
161	5374	27799
162	5397	27715
163	5415	27606
164	5435	27507
165	5454	27406
166	5478	27327
167	5499	27236
168	5520	27145
169	5541	27057
170	5568	26997
171	5593	26925
172	5619	26862
173	5641	26781
174	5667	26719
175	5691	26648
176	5717	26582
177	5737	26494
178	5768	26459
179	5804	26444
180	5843	26440
181	5884	26448
182	5918	26422
183	5953	26402
184	5985	26369
185	6020	26347
186	6056	26332
187	6092	26313
188	6130	26306
189	6172	26315
190	6205	26285
191	6229	26214
192	6252	26145
193	6275	26073
194	6296	25993
195	6317	25916
196	6340	25844
197	6361	25765
198	6383	25694
199	6404	25619
200	6430	25560
201	6454	25498
202	6477	25432
203	6499	25359
204	6520	25286
205	6540	25208
206	6559	25128
207	6581	25060
208	6604	24994
209	6629	24939
210	6657	24895
211	6684	24844
212	6711	24797
213	6753	24803
214	6791	24796
215	6825	24775
216	6860	24753
217	6909	24785
218	6942	24759
219	6975	24730
220	7009	24708
221	7041	24677
222	7072	24644
223	7113	24641
224	7148	24621
225	7177	24581
226	7199	24517
227	7224	24461
228	7244	24390
229	7263	24318
230	7289	24265
231	7312	24207
232	7337	24153
233	7358	24086
234	7377	24017
235	7399	23955
236	7423	23897
237	7443	23831
238	7463	23765
239	7484	23701
240	7507	23643
241	7531	23589
242	7556	23539
243	7577	23478
244	7601	23423
245	7622	23364
246	7644	23305
247	7668	23253
248	7702	23230
249	7743	23229
250	7779	23215
251	7811	23187
252	7849	23176
253	7883	23153
254	7919	23136
255	7958	23130
256	7997	23119
257	8034	23106
258	8068	23083
259	8103	23063
260	8140	23048
261	8167	23005
262	8193	22959
263	8214	22902
264	8237	22848
265	8258	22789
266	8279	22729
267	8299	22669
268	8324	22620
269	8343	22557
270	8363	22498
271	8387	22448
272	8412	22401
273	8433	22345
274	8456	22294
275	8476	22234
276	8496	22176
277	8517	22121
278	8540	22069
279	8560	22013
280	8581	21957
281	8603	21906
282	8629	21862
283	8652	21814
284	8674	21761
285	8704	21731
286	8734	21700
287	8774	21691
288	8803	21659
289	8837	21637
290	8874	21622
291	8908	21598
292	8946	21587
293	8979	21563
294	9016	21548
295	9058	21543
296	9093	21524
297	9119	21482
298	9144	21439
299	9166	21388
300	9186	21332
301	9206	21277
302	9229	21230
303	9253	21186
304	9275	21135
305	9296	21083
306	9317	21032
307	9339	20983
308	9359	20930
309	9380	20878
310	9400	20827
311	9422	20777
312	9443	20728
313	9467	20682
314	9488	20632
315	9509	20584
316	9533	20540
317	9557	20497
318	9577	20447
319	9597	20394
320	9618	20346
321	9648	20314
322	9687	20304
323	9721	20283
324	9759	20268
325	9789	20239
326	9819	20208
327	9847	20174
328	9880	20151
329	9912	20124
330	9951	20113
331	9986	20093
332	10017	20064
333	10051	20042
334	10083	20016
335	10104	19967
336	10125	19920
337	10148	19876
338	10167	19825
339	10206	19812
340	10273	19854
341	10312	19840
342	10349	19823
343	10374	19783
344	10393	19732
345	10414	19684
346	10434	19636
347	10457	19592
348	10477	19543
349	10497	19495
350	10517	19447
351	10538	19400
352	10560	19355
353	10578	19304
354	10610	19277
355	10643	19254
356	10676	19230
357	10706	19200
358	10741	19179
359	10779	19164
360	10816	19146
361	10852	19126
362	10896	19122
363	10926	19091
364	10959	19066
365	10999	19054
366	11032	19028
367	11066	19005
368	11086	18957
369	11106	18910
370	11125	18862
371	11147	18818
372	11171	18778
373	11194	18737
374	11215	18692
375	11238	18650
376	11265	18615
377	11284	18569
378	11307	18527
379	11330	18485
380	11352	18443
381	11378	18408
382	11403	18370
383	11425	18328
384	11445	18282
385	11467	18241
386	11490	18201
387	11511	18156
388	11531	18112
389	11565	18089
390	11601	18069
391	11631	18040
392	11662	18013
393	11694	17986
394	11719	17949
395	11751	17924
396	11784	17899
397	11822	17881
398	11859	17863
399	11892	17838
400	11924	17812
401	11961	17793
402	12001	17779
403	12031	17749
404	12056	17712
405	12079	17672
406	12104	17636
407	12127	17596
408	12151	17558
409	12173	17518
410	12196	17478
411	12218	17438
412	12241	17399
413	12265	17361
414	12287	17320
415	12310	17281
416	12332	17241
417	12362	17212
418	12385	17174
419	12407	17133
420	12430	17095
421	12455	17059
422	12481	17025
423	12502	16984
424	12527	16949
425	12559	16922
426	12588	16892
427	12617	16863
428	12650	16837
429	12686	16817
430	12724	16798
431	12759	16776
432	12794	16753
433	12826	16727
434	12863	16707
435	12900	16688
436	12935	16664
437	12962	16631
438	12990	16601
439	13012	16561
440	13033	16521
441	13052	16477
442	13074	16439
443	13097	16401
444	13119	16362
445	13143	16326
446	13164	16286
447	13185	16246
448	13206	16207
449	13228	16167
450	13247	16126
451	13266	16084
452	13286	16043
453	13311	16009
454	13333	15970
455	13354	15931
456	13378	15896
457	13402	15860
458	13441	15842
459	13470	15812
460	13496	15780
461	13536	15763
462	13570	15738
463	13613	15725
464	13650	15705
465	13682	15679
466	13722	15662
467	13761	15643
468	13800	15625
469	13833	15599
470	13863	15571
471	13894	15543
472	13933	15524
473	13967	15499
474	13991	15464
475	14017	15430
476	14040	15394
477	14062	15357
478	14085	15320
479	14108	15283
480	14133	15249
481	14162	15219
482	14183	15181
483	14207	15146
484	14230	15110
485	14252	15073
